Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,1.5,0.9,1.5,1.5,1.3,1.2,1.2,1,1,1,1,0.9
Belgium,1.2,1.1,0.7,0.8,0.6,0.3,1.4,2.1,2,2.1,2.3,1.7
Bulgaria,35.4,35.4,33.6,29.1,26.2,24.6,24.8,22.4,21.4,20.6,18.6,18.5
Switzerland,0,0,1.9,0,0.1,0.1,0.1,0.1,0,0.2,0,0
Cyprus,1.6,1.7,1.4,1,0.8,1.1,1.2,0.9,1.1,1,0.9,
Czech Republic,2,1.3,1.2,1.1,0.7,0.7,0.7,0.9,0.9,0.7,0.6,0.5
Germany,0.9,1.5,1.2,1.3,1.2,1.6,0.9,0.9,0.1,0,0.1,0
Denmark,0,0,0,0,0,0,0.6,0.4,0.6,0.5,0.6,0.6
Estonia,17,15.8,15,13.4,12.2,11.1,9.6,8.6,8.1,7.2,6.9,0
Greece,3.6,3.2,3.2,2.5,1.8,1.4,0.9,0.5,0.7,0.5,0.5,0.4
Spain,0.5,0.3,0.3,0.1,0,0,0,0.1,0.1,0.1,0.1,0.3
Finland,0.9,0.8,0.8,1,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.5
France,1,0.9,0.9,0.8,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0
Croatia,0,0,0,0,0,0.6,1.7,2.5,1.7,2,1.9,1.8
Hungary,8.4,5.8,6.4,6.7,7.1,6.6,5,5.2,5.3,5.3,3.9,4.3
Ireland,0.5,0.3,0.6,0.3,0.3,0.2,4.4,2.4,2.1,0.1,0.1,0
Iceland,0.5,0.5,0.3,0.2,0.3,0.4,0,0,0,0,0,0
Italy,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.6,1.1,0.8,0.6,0
Lithuania,25.1,23.7,20.2,20.2,17.9,16.2,16.8,15.8,13.6,12.5,12.4,13.7
Luxembourg,0.2,0.5,0.6,0.7,0.8,0.5,0.1,0.7,0.1,0.1,0,0
Latvia,22.3,19.1,20.6,16.8,17,16.8,16.5,16.2,15.2,14.7,13.6,12.9
Macedonia,0,0,0,0,0,13.1,11.6,12.7,10.3,9.5,5.7,0
Malta,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0.1
Norway,0.2,0.2,0.3,0.1,0.1,0.1,0.3,0,0,0,0,0
Poland,7.8,7.2,6.2,5.3,4.8,4.1,4,3.5,3.2,3.1,2.7,2.4
Portugal,3.3,3.6,3.2,2.6,2.4,1.6,1.2,0.9,0.9,1,1,0
Romania,0,0,44.5,41.3,42.1,40.9,38.8,36.8,35.9,34.3,32.8,32.6
Serbia,0,0,0,0,0,0,0,0,4.8,4.2,4.2,4.4
Sweden,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,1.7,1.2,1.1,0.8,0.6,0.4,0.5,0.4,0.5,0.6,0.3,0.3
Slovakia,3.2,3.2,2.9,0.4,1.1,1.2,1.4,1.1,0.6,1.3,1.4,1.4
Turkey,0,14.2,13.5,13.4,12.4,0,9,9.1,8.8,7.6,6.5,0
United Kingdom,1,0.8,0.8,0.6,0.5,0.5,0.1, 0.3,0.2,0.4,0.4,0.4
